trade_id,symbol,direcao,entrada_ms,entrada_utc,entry_price,position_size,status,close_execution,sync_status
7,ANKRUSDT,LONG,1771645791595,2026-02-21T03:49:51.595000Z,0.00459815,10.0,ABERTA,,❓ Nenhuma tentativa CLOSE/REDUCE encontrada
6,ANKRUSDT,LONG,1771645759306,2026-02-21T03:49:19.306000Z,0.004598,10.0,ABERTA,,❓ Nenhuma tentativa CLOSE/REDUCE encontrada
5,ANKRUSDT,LONG,1771645665342,2026-02-21T03:47:45.342000Z,0.00459445,10.0,ABERTA,,❓ Nenhuma tentativa CLOSE/REDUCE encontrada
4,ANKRUSDT,LONG,1771645641063,2026-02-21T03:47:21.063000Z,0.004595,10.0,ABERTA,,❓ Nenhuma tentativa CLOSE/REDUCE encontrada
3,ANKRUSDT,LONG,1771645593750,2026-02-21T03:46:33.750000Z,0.00459293,10.0,ABERTA,,❓ Nenhuma tentativa CLOSE/REDUCE encontrada
2,ANKRUSDT,LONG,1771645201769,2026-02-21T03:40:01.769000Z,0.00460247,10.0,ABERTA,,❓ Nenhuma tentativa CLOSE/REDUCE encontrada
1,ANKRUSDT,LONG,1771644290000,2026-02-21T03:24:50Z,0.004609,9.996921,ABERTA,,❓ Nenhuma tentativa CLOSE/REDUCE encontrada
