id,timestamp,symbol,direction,action,side,quantity,executed,mode,reason,order_id,fill_price,fill_quantity,entry_price,mark_price,unrealized_pnl,unrealized_pnl_pct,risk_score,decision_confidence,decision_reasoning
35,2026-03-07T04:12:55.152000Z,XRPUSDT,SHORT,SET_SL,BUY,7.8,1,live,SL já existente na Binance (detecção de duplicidade),,1.3765695009358088,,1.4532,1.36200164,0.7113472,66.95906693207725,7.5,0.25,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.6% do saldo total"", ""Estrutura bearish com BOS confirmado - favoravel para SHORT"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 26.1, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: ATR)""]"
34,2026-03-07T04:12:30.339000Z,ATAUSDT,SHORT,SET_TP,BUY,550.0,1,live,TP já existente na Binance (detecção de duplicidade),,0.011128571428571429,,0.0119,0.01125047,0.3572415,57.73358801898942,10.0,0.92,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.4% do saldo total"", ""[UPGRADE] Mudan\u00e7a de dire\u00e7\u00e3o detectada (bullish) contra posi\u00e7\u00e3o SHORT - CLOSE 100% obrigat\u00f3rio"", ""[AVISO] Estrutura bullish contra posicao SHORT"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 18.8, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: ATR)""]"
33,2026-03-07T04:12:30.012000Z,ATAUSDT,SHORT,SET_SL,BUY,550.0,1,live,SL já existente na Binance (detecção de duplicidade),,0.012132421116071428,,0.0119,0.01125047,0.3572415,57.73358801898942,10.0,0.92,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.4% do saldo total"", ""[UPGRADE] Mudan\u00e7a de dire\u00e7\u00e3o detectada (bullish) contra posi\u00e7\u00e3o SHORT - CLOSE 100% obrigat\u00f3rio"", ""[AVISO] Estrutura bullish contra posicao SHORT"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 18.8, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: ATR)""]"
32,2026-03-07T04:12:01.273000Z,OGNUSDT,SHORT,SET_TP,BUY,406.0,1,live,TP já existente na Binance (detecção de duplicidade),,0.019007142857142858,,0.0204,0.01963406,0.31097164,39.01078024616407,7.5,0.25,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.5% do saldo total"", ""Estrutura bearish com BOS confirmado - favoravel para SHORT"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 29.2, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: ATR)""]"
31,2026-03-07T04:12:00.976000Z,OGNUSDT,SHORT,SET_SL,BUY,406.0,1,live,SL já existente na Binance (detecção de duplicidade),,0.02109642857142857,,0.0204,0.01963406,0.31097164,39.01078024616407,7.5,0.25,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.5% do saldo total"", ""Estrutura bearish com BOS confirmado - favoravel para SHORT"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 29.2, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: ATR)""]"
30,2026-03-07T04:11:30.426000Z,OPUSDT,SHORT,SET_TP,BUY,61.5,1,live,TP já existente na Binance (detecção de duplicidade),,0.11887857142857142,,0.1276,0.11979365,0.48009052,65.16497258994268,7.5,0.25,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.4% do saldo total"", ""Estrutura bearish com BOS confirmado - favoravel para SHORT"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 21.9, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: ATR)""]"
29,2026-03-07T04:11:29.930000Z,OPUSDT,SHORT,SET_SL,BUY,61.5,1,live,SL já existente na Binance (detecção de duplicidade),,0.12364709421655139,,0.1276,0.11979365,0.48009052,65.16497258994268,7.5,0.25,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.4% do saldo total"", ""Estrutura bearish com BOS confirmado - favoravel para SHORT"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 21.9, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: ATR)""]"
28,2026-03-07T04:11:03.033000Z,BNBUSDT,SHORT,SET_SL,BUY,0.01,1,live,SL já existente na Binance (detecção de duplicidade),,652.570769218203,,654.78,625.42544932,0.2935455,46.93533023306939,8.25,0.17500000000000004,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.4% do saldo total"", ""Estrutura bearish com BOS confirmado - favoravel para SHORT"", ""SHORT em estrutura favor\u00e1vel (RSI: 22.6, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: ATR)""]"
27,2026-03-07T04:10:28.307000Z,TWTUSDT,SHORT,SET_TP,BUY,25.0,1,live,TP já existente na Binance (detecção de duplicidade),,0.4729156198517298,,0.5003,0.48571875,0.36453125,30.0199446696262,8.25,0.17500000000000004,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.7% do saldo total"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 36.7, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: SMC_LIQUIDITY_SSL)""]"
26,2026-03-07T04:10:27.972000Z,TWTUSDT,SHORT,SET_SL,BUY,25.0,1,live,SL já existente na Binance (detecção de duplicidade),,0.49485909947561185,,0.5003,0.48571875,0.36453125,30.0199446696262,8.25,0.17500000000000004,"[""[AVISO] Posi\u00e7\u00e3o em CROSS MARGIN - todo saldo da conta est\u00e1 em risco"", ""Exposi\u00e7\u00e3o da conta: 0.7% do saldo total"", ""EMAs alinhadas para baixa - tendencia bearish confirmada"", ""SHORT em estrutura favor\u00e1vel (RSI: 36.7, pre\u00e7o abaixo EMAs)"", ""TP/SL calculado com t\u00e9cnico+SMC (SL: SMC_OB+ATR, TP: SMC_LIQUIDITY_SSL)""]"
